route,distance,store,client
"['store', 'client']",[5.902864545731848],"(40.41101822870703, -79.91054922095948)","(40.46138730425948, -79.93278863480963)"
"['store', 'client']",[7.862642132180043],"(40.41101822870703, -79.91054922095948)","(40.47188750408828, -79.95789524614574)"
"['store', '33', '58', '1', 'client']",[28.540459189104265],"(40.41101822870703, -79.91054922095948)","(40.62155428617029, -79.76282369523125)"
"['store', 'client']",[4.0787964495636375],"(40.41101822870703, -79.91054922095948)","(40.37718271340982, -79.89185060554011)"
"['store', '6', '4', '40', 'client']",[29.412414591958054],"(40.41101822870703, -79.91054922095948)","(40.65226301802712, -79.86767596132668)"
"['store', 'client']",[9.27927684923204],"(40.41101822870703, -79.91054922095948)","(40.494442105863584, -79.9168917437497)"
"['store', '11', '12', '18', '16', 'client']",[30.579072191144324],"(40.41101822870703, -79.91054922095948)","(40.40157754301077, -79.78001848418106)"
"['store', '33', 'client']",[12.513860704687048],"(40.41101822870703, -79.91054922095948)","(40.5078895971599, -79.83701818474908)"
"['store', '6', '39', 'client']",[20.61930607738929],"(40.41101822870703, -79.91054922095948)","(40.56675685684818, -80.04112185660372)"
"['store', '11', 'client']",[12.534620514009426],"(40.41101822870703, -79.91054922095948)","(40.358745014607045, -80.03464550696302)"
"['store', '6', '4', 'client']",[17.3070936606885],"(40.41101822870703, -79.91054922095948)","(40.5597947865235, -79.96067221814394)"
"['store', 'client']",[5.23729936364968],"(40.41101822870703, -79.91054922095948)","(40.44791910139652, -79.94898789405984)"
"['store', '56', '23', '5', '17', '57', '54', 'client']",[52.27694142705751],"(40.41101822870703, -79.91054922095948)","(40.533872488843976, -80.21015542766094)"
"['store', '11', '12', '18', '16', '27', 'client']",[38.55365121231236],"(40.41101822870703, -79.91054922095948)","(40.45973433708655, -79.72281076140041)"
"['store', '11', '12', 'client']",[21.85356343300861],"(40.41101822870703, -79.91054922095948)","(40.31996615507924, -79.82555464289801)"
"['store', 'client']",[2.6232772221856506],"(40.41101822870703, -79.91054922095948)","(40.38831680927405, -79.90199751549535)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[56.69893156309231],"(40.41101822870703, -79.91054922095948)","(40.57994582393675, -80.21539032993495)"
"['store', '14', '10', 'client']",[19.70085658853237],"(40.41101822870703, -79.91054922095948)","(40.43981953580436, -80.13895295306645)"
"['store', 'client']",[5.089417530051992],"(40.41101822870703, -79.91054922095948)","(40.44673710135376, -79.94813129549438)"
"['store', 'client']",[5.442962138442013],"(40.41101822870703, -79.91054922095948)","(40.4586687046604, -79.92558902937081)"
"['store', 'client']",[4.778202249548389],"(40.41101822870703, -79.91054922095948)","(40.43923109969604, -79.95306352375923)"
"['store', 'client']",[9.299987069292513],"(40.41101822870703, -79.91054922095948)","(40.34245353747214, -79.84765970762338)"
"['store', 'client']",[8.126811852035626],"(40.41101822870703, -79.91054922095948)","(40.46286850131564, -79.97814630134033)"
"['store', '56', 'client']",[11.591711051366095],"(40.41101822870703, -79.91054922095948)","(40.46267904900634, -80.02639996504331)"
"['store', '15', 'client']",[12.813640176764912],"(40.41101822870703, -79.91054922095948)","(40.46949101060879, -79.801473028179)"
"['store', '6', '39', 'client']",[20.768449619377318],"(40.41101822870703, -79.91054922095948)","(40.58252148378264, -80.00017316418473)"
"['store', '14', 'client']",[13.606574625313616],"(40.41101822870703, -79.91054922095948)","(40.45328260209856, -80.0578864438919)"
"['store', 'client']",[6.03519289878612],"(40.41101822870703, -79.91054922095948)","(40.45794200287016, -79.9464391646967)"
"['store', '56', 'client']",[12.069635224108389],"(40.41101822870703, -79.91054922095948)","(40.384783941060576, -80.04416136874734)"
"['store', '56', '23', 'client']",[13.88438182979591],"(40.41101822870703, -79.91054922095948)","(40.369474546882, -80.05414034854158)"
"['store', 'client']",[5.987420888192804],"(40.41101822870703, -79.91054922095948)","(40.46184240419709, -79.93411553584814)"
"['store', '14', '10', 'client']",[23.678799363802817],"(40.41101822870703, -79.91054922095948)","(40.402153268472674, -80.18428740061971)"
"['store', '11', 'client']",[16.772860627747384],"(40.41101822870703, -79.91054922095948)","(40.30134399901239, -80.04600670611241)"
"['store', '15', 'client']",[11.481756921566515],"(40.41101822870703, -79.91054922095948)","(40.49876280157648, -79.84183686272165)"
"['store', '56', '23', 'client']",[13.247694026522286],"(40.41101822870703, -79.91054922095948)","(40.36540743360821, -80.0461744300421)"
"['store', '6', '39', 'client']",[17.13772781245806],"(40.41101822870703, -79.91054922095948)","(40.523063865398335, -80.03236336699554)"
"['store', 'client']",[8.905569311759173],"(40.41101822870703, -79.91054922095948)","(40.466689501755226, -79.98610370170192)"
"['store', '56', '23', 'client']",[13.507983568528982],"(40.41101822870703, -79.91054922095948)","(40.36158883264834, -80.04698194349719)"
"['store', '11', '12', 'client']",[24.430587768845683],"(40.41101822870703, -79.91054922095948)","(40.25726667560188, -79.82372976768535)"
"['store', '14', '10', 'client']",[16.7413935183715],"(40.41101822870703, -79.91054922095948)","(40.40645803211585, -80.09458041995283)"
"['store', '56', '23', '5', '17', '57', '54', '48', 'client']",[59.686313053911405],"(40.41101822870703, -79.91054922095948)","(40.54515701578908, -80.12319554306704)"
"['store', 'client']",[2.204898057171173],"(40.41101822870703, -79.91054922095948)","(40.43047270518983, -79.9157494694948)"
"['store', '6', '39', 'client']",[21.683501696451515],"(40.41101822870703, -79.91054922095948)","(40.51158358223192, -80.0881922117604)"
"['store', '14', '10', 'client']",[17.1055794148875],"(40.41101822870703, -79.91054922095948)","(40.417155964596326, -80.10933866087393)"
